YEAR,RegionCode,Area_ha
1975,NL,85806.563045
1974,NL,55381.857292
1973,NL,7825.505178
1972,NL,15375.451021
2024,NS,46.177906
2023,NS,21809.410837
2022,NS,2845.138552
2021,NS,184.381283
2020,NS,672.3788
2018,NS,257.677607
2017,NS,784.735991
2016,NS,794.521453
2015,NS,562.895106
2014,NS,584.670019
2013,NS,311.873211
2009,NS,642.260212
2008,NS,1741.965328
2007,NS,13.922938
2006,NS,21.281898
2005,NS,8.601628
2004,NS,12.422608
2003,NS,501.43007
2001,NS,158.786199
2000,NS,146.821006
1999,NS,719.954651
1998,NS,55.81983
1997,NS,41.86749
1994,NS,1.676738
1992,NS,470.731018
1991,NS,764.439297
1990,NS,558.25163
1988,NS,5.773897
1987,NS,37.371544
1984,NS,143.830977
1980,NS,421.453827
1976,NS,10947.208535
2024,NT,1647294.00149
2023,NT,3487336.802179
2022,NT,579870.789403
2021,NT,154455.192913
2020,NT,18156.350975
2019,NT,110103.87742
2018,NT,14167.361917
2017,NT,814013.72961
2016,NT,213972.810825
2015,NT,526643.081097
2014,NT,2845389.541255
2013,NT,460949.02597
2012,NT,194449.604051
2011,NT,211962.044318
2010,NT,253764.276884
2009,NT,1498.121958
2008,NT,311715.720394
2007,NT,307080.637931
2006,NT,43531.474238
2005,NT,178056.020591
2004,NT,385825.202795
2003,NT,104831.50818
2002,NT,40136.042226
2001,NT,89604.907001
2000,NT,156727.51599
1999,NT,439172.659298
1998,NT,1264849.212699
1997,NT,79478.896916
1996,NT,275135.033517
1995,NT,2044483.914872
1994,NT,2321449.104818
1993,NT,808131.347696
1992,NT,33674.31914
1991,NT,175691.905524
1990,NT,93792.940681
1989,NT,468599.707205
1988,NT,65983.696172
1987,NT,328780.812183
1986,NT,268355.96334
1985,NT,105806.534644
1984,NT,29852.168784
1983,NT,223396.692455
1982,NT,237169.415182
1981,NT,587627.612695
1980,NT,1090954.606259
1979,NT,1594538.830225
1978,NT,61010.443554
1977,NT,281585.114037
1976,NT,620891.2901
1975,NT,526121.348298
1974,NT,23205.557551
1973,NT,803691.109367
1972,NT,178097.452644
2024,NU,42.072809
2023,NU,3784.6894
2022,NU,987.072408
2021,NU,247.075691
2020,NU,49.16431
2019,NU,2296.489088
2018,NU,278.98713
2017,NU,139.64454
2016,NU,142.253915
2015,NU,73.369216
2014,NU,2809.882917
2013,NU,132.951709
2012,NU,9.141471
2011,NU,455.567752
2010,NU,8719.51438
2009,NU,25.293562
2008,NU,4361.379029
2007,NU,16.137806
2006,NU,377.864712
2004,NU,363.789495
2003,NU,964.921207
2000,NU,903.831583
1999,NU,37.756642
2024,ON,79874.038884
2023,ON,338450.972125
2022,ON,3312.651189
